N	pi_value
330000	3.13990303030303
331000	3.1395407854984896
332000	3.139433734939759
333000	3.1395315315315315
334000	3.1394491017964072
335000	3.139570149253731
336000	3.1395119047619047
337000	3.139418397626113
338000	3.139266272189349
339000	3.1392566371681414
340000	3.1391764705882355
341000	3.1392258064516128
342000	3.139567251461988
343000	3.1395685131195337
344000	3.1397558139534882
345000	3.139768115942029
346000	3.1395838150289017
347000	3.1394697406340057
348000	3.139448275862069
349000	3.1393352435530084
350000	3.13936
351000	3.139122507122507
352000	3.139238636363636
353000	3.139229461756374
354000	3.1391638418079095
355000	3.139154929577465
356000	3.139056179775281
357000	3.139282913165266
358000	3.1392067039106144
359000	3.1390529247910863
360000	3.1388555555555557
361000	3.1389030470914125
362000	3.139060773480663
363000	3.1388980716253445
364000	3.138868131868132
365000	3.1386520547945205
366000	3.138513661202186
367000	3.1385286103542236
368000	3.1385652173913043
369000	3.1386124661246613
370000	3.1386054054054053
371000	3.1387493261455526
372000	3.1388817204301076
373000	3.139077747989276
374000	3.1390588235294117
375000	3.1387946666666666
376000	3.1385531914893616
377000	3.1384933687002654
378000	3.1384550264550266
379000	3.138490765171504
380000	3.138336842105263
381000	3.138057742782152
382000	3.138094240837696
383000	3.138046997389034
384000	3.13809375
385000	3.1379012987012986
386000	3.1379896373056995
387000	3.138077519379845
388000	3.138144329896907
389000	3.138262210796915
390000	3.1382153846153846
391000	3.138373401534527
392000	3.1384285714285713
393000	3.1385852417302798
394000	3.138558375634518
395000	3.1387240506329115
396000	3.13879797979798
397000	3.138780856423174
398000	3.1388341708542713
399000	3.1387268170426066
400000	3.13875
401000	3.138663341645885
402000	3.138726368159204
403000	3.1387196029776674
404000	3.1385742574257427
405000	3.138637037037037
406000	3.138630541871921
407000	3.1385159705159706
408000	3.1384607843137253
409000	3.1383276283618584
410000	3.1383219512195124
411000	3.138248175182482
412000	3.1379805825242717
413000	3.13809200968523
414000	3.1380096618357487
415000	3.1379180722891564
416000	3.138153846153846
417000	3.138177458033573
418000	3.1384114832535883
419000	3.1386062052505967
420000	3.1386190476190476
421000	3.1385938242280287
422000	3.13860663507109
423000	3.1384113475177307
424000	3.138188679245283
425000	3.1382023529411764
426000	3.1378967136150235
427000	3.1377798594847777
428000	3.1375981308411216
429000	3.1376689976689978
430000	3.1376651162790696
431000	3.137967517401392
432000	3.1378518518518517
433000	3.138013856812933
434000	3.1381382488479264
435000	3.1380505747126435
436000	3.13797247706422
437000	3.138086956521739
438000	3.138054794520548
439000	3.138150341685649
440000	3.1381
441000	3.138204081632653
442000	3.138262443438914
443000	3.1380857787810386
444000	3.138027027027027
445000	3.1380314606741573
446000	3.1379730941704036
447000	3.137914988814318
448000	3.1379553571428573
449000	3.1379331848552336
450000	3.1378577777777776
451000	3.1378181818181816
452000	3.137920353982301
453000	3.1378101545253863
454000	3.137885462555066
455000	3.138101098901099
456000	3.137947368421053
457000	3.137951859956236
458000	3.1379650655021836
459000	3.137838779956427
